product_id,product_name,category,subcategory,price,brand,organic,local_producer,seasonal,weight_kg,launch_date
PROD_000001,Aliquam Reprehenderit,Hjem og fritid,Rengjøring,90.95,Knudsen-Brekke,False,False,False,,2020-12-02
PROD_000002,Labore Fugit,Sesongvarer,Tilbake til skolen,323.95,Lien BA,False,False,False,,2023-07-08
PROD_000003,Suscipit Saepe,Sesongvarer,Tilbake til skolen,112.25,"Jacobsen, Simonsen og Larsen",False,True,False,,2023-07-01
PROD_000004,Assumenda Dolores,Helse og skjønnhet,Kosmetikk,456.58,Abrahamsen-Knutsen ASA,False,False,False,,2020-07-09
PROD_000005,Incidunt Sapiente,Helse og skjønnhet,Kosmetikk,62.3,Engen & co.,False,False,False,,2024-12-30
PROD_000006,Labore Minus,Dagligvarer,Drikke,31.75,Hanssen BA,False,False,False,3.824410857244215,2022-08-14
PROD_000007,Placeat Delectus,Helse og skjønnhet,Kosmetikk,190.83,Haugland BA,False,False,False,,2022-09-24
PROD_000008,Adipisci Asperiores,Sesongvarer,Påske,398.56,Berge Gruppen,True,False,False,,2020-09-19
PROD_000009,Doloribus Ratione,Dagligvarer,Snacks og godteri,88.15,"Lund, Haugland og Eliassen",False,False,False,0.6237445968572751,2024-02-17
PROD_000010,Quasi Unde,Dagligvarer,Drikke,160.61,Paulsen-Isaksen & co.,True,False,False,1.1217694524013462,2021-12-02
PROD_000011,Amet Perspiciatis,Sesongvarer,Jul,399.16,Mikkelsen & co.,False,False,False,,2024-07-15
PROD_000012,Eum Veniam,Sesongvarer,Tilbake til skolen,112.17,Holm-Næss,False,False,False,,2022-06-20
PROD_000013,Nostrum Inventore,Dagligvarer,Drikke,149.26,Larsen-Haug og Sønner,False,False,False,3.559226807957876,2020-07-22
PROD_000014,Reiciendis Quia,Helse og skjønnhet,Kosmetikk,276.27,Jacobsen-Nygård,False,False,False,,2024-10-10
PROD_000015,Vitae Odio,Hjem og fritid,Rengjøring,641.51,Abrahamsen RFH,False,False,False,,2024-03-16
PROD_000016,Ab Maxime,Dagligvarer,Snacks og godteri,188.9,Knudsen AS,False,False,False,4.956064876901582,2024-07-13
PROD_000017,Adipisci Possimus,Sesongvarer,Jul,90.94,Jensen-Helland BA,True,False,False,,2022-11-01
PROD_000018,Illum Eveniet,Helse og skjønnhet,Apotek,306.37,Solheim og Sønner,True,False,False,,2025-04-22
PROD_000019,Maiores Et,Dagligvarer,Frukt og grønt,105.3,Andresen RFH,False,False,False,4.45897861907114,2021-09-10
PROD_000020,Eos Ullam,Dagligvarer,Tørrvarer,129.98,Eliassen og Sønner,False,False,False,2.579919693132229,2023-03-22
PROD_000021,Possimus Quisquam,Helse og skjønnhet,Apotek,202.57,Eide-Evensen,False,True,False,,2023-02-22
PROD_000022,Fugit Reiciendis,Dagligvarer,Snacks og godteri,130.51,"Nielsen, Johnsen og Helland",True,True,False,4.861015299683013,2021-02-03
PROD_000023,Est Vel,Sesongvarer,Tilbake til skolen,455.19,"Ahmed, Sandvik og Myklebust",False,True,False,,2024-01-05
PROD_000024,Eligendi Corporis,Hjem og fritid,Sport og fritid,821.64,Isaksen ASA,False,False,False,,2024-05-22
PROD_000025,Ullam Nam,Sesongvarer,Tilbake til skolen,169.49,Berg & co.,False,False,False,,2022-10-22
PROD_000026,Porro Iure,Hjem og fritid,Tekstil,684.87,"Karlsen, Gundersen og Strand",False,True,False,,2022-03-01
PROD_000027,Perferendis Soluta,Sesongvarer,Tilbake til skolen,202.05,Sæther og Sønner,False,False,False,,2023-02-02
PROD_000028,Ipsa Id,Dagligvarer,Frosne varer,87.37,Ruud og Sønner,False,False,False,3.2696047139492332,2024-02-16
PROD_000029,Fugiat Repellat,Helse og skjønnhet,Kosmetikk,479.95,Gulbrandsen-Sæther Gruppen,False,False,False,,2021-11-25
PROD_000030,Quisquam Ullam,Dagligvarer,Frukt og grønt,172.13,Kristoffersen AS,False,False,False,2.546361434281764,2022-08-17
PROD_000031,Autem Ab,Sesongvarer,Sommer,85.01,Næss-Gundersen,False,False,False,,2020-07-06
PROD_000032,Esse Fuga,Hjem og fritid,Rengjøring,1108.03,Strøm ASA,False,False,False,,2021-09-22
PROD_000033,Nihil Perspiciatis,Sesongvarer,Jul,309.1,Gundersen Gruppen,False,False,False,,2021-01-10
PROD_000034,Esse Illo,Sesongvarer,Sommer,334.15,"Antonsen, Knutsen og Antonsen",True,False,False,,2024-11-19
PROD_000035,Dolorum Facere,Helse og skjønnhet,Apotek,225.0,"Arnesen, Johnsen og Larsen",False,False,False,,2020-07-15
PROD_000036,Sed Perspiciatis,Dagligvarer,Tørrvarer,144.08,Ahmed ASA,False,False,False,4.164732890704822,2025-05-12
PROD_000037,Maiores Asperiores,Sesongvarer,Tilbake til skolen,310.17,Arnesen-Lunde,False,False,False,,2023-05-19
PROD_000038,Officia Unde,Sesongvarer,Sommer,431.8,Knudsen-Pettersen,False,False,False,,2024-06-18
PROD_000039,Recusandae Deserunt,Helse og skjønnhet,Personlig pleie,385.64,"Lien, Solberg og Fredriksen",False,False,False,,2023-03-29
PROD_000040,Assumenda Ratione,Helse og skjønnhet,Personlig pleie,192.4,Amundsen & co.,False,False,False,,2022-12-04
PROD_000041,Magni Magnam,Sesongvarer,Jul,174.46,"Nielsen, Haug og Berntsen",False,False,False,,2023-05-13
PROD_000042,Impedit Nulla,Helse og skjønnhet,Apotek,146.88,"Pettersen, Solheim og Simonsen",False,True,False,,2024-11-12
PROD_000043,Id Aut,Hjem og fritid,Tekstil,869.69,Lund BA,False,False,False,,2024-02-13
PROD_000044,Enim Doloremque,Sesongvarer,Tilbake til skolen,119.08,"Evensen, Nielsen og Edvardsen",False,False,False,,2021-12-22
PROD_000045,Id Rerum,Sesongvarer,Jul,317.9,Solheim-Haugland,False,True,False,,2020-06-24
PROD_000046,Similique Dolorem,Dagligvarer,Frukt og grønt,135.32,"Lien, Paulsen og Jørgensen",True,True,False,0.3454427074191831,2023-08-02
PROD_000047,Labore Minima,Sesongvarer,Påske,298.16,"Abrahamsen, Rønning og Strand",False,False,False,,2022-12-28
PROD_000048,Eum Consequatur,Sesongvarer,Sommer,212.93,"Arnesen, Karlsen og Christensen",False,False,False,,2025-05-15
PROD_000049,Rem Corporis,Helse og skjønnhet,Personlig pleie,198.32,"Mathisen, Sørensen og Engen",False,False,False,,2024-10-20
PROD_000050,Dolore Voluptates,Helse og skjønnhet,Kosmetikk,215.01,Vik AS,True,False,False,,2020-09-26
PROD_000051,Quam Voluptatem,Helse og skjønnhet,Apotek,415.45,Rasmussen-Aas AS,True,True,False,,2024-07-15
PROD_000052,Odio Porro,Dagligvarer,Frukt og grønt,46.86,"Myklebust, Moen og Berntsen",False,False,False,4.342794077951102,2021-05-16
PROD_000053,Unde Esse,Helse og skjønnhet,Apotek,456.91,Mikkelsen AS,False,False,False,,2020-06-10
PROD_000054,Facilis Minima,Hjem og fritid,Tekstil,707.31,Thomassen-Antonsen og Sønner,False,False,False,,2020-08-15
PROD_000055,Cumque Consequatur,Helse og skjønnhet,Kosmetikk,326.53,Hanssen RFH,False,False,False,,2024-06-17
PROD_000056,Enim Ea,Sesongvarer,Sommer,68.52,Aune Gruppen,False,True,False,,2021-06-23
PROD_000057,Vero Alias,Hjem og fritid,Elektronikk,102.68,Aune BA,False,False,False,,2022-09-16
PROD_000058,Sint Distinctio,Helse og skjønnhet,Apotek,55.36,Amundsen AS,False,True,False,,2021-01-07
PROD_000059,Dolorem Tempore,Hjem og fritid,Elektronikk,869.46,Amundsen BA,False,False,False,,2021-02-08
PROD_000060,Reprehenderit Totam,Helse og skjønnhet,Kosmetikk,168.87,Ødegård-Moe AS,False,False,False,,2023-08-20
PROD_000061,Accusamus Pariatur,Helse og skjønnhet,Personlig pleie,355.19,Abrahamsen ASA,False,True,False,,2023-04-12
PROD_000062,Veritatis Odit,Dagligvarer,Frosne varer,62.34,Thomassen ASA,False,False,False,0.8574442763264577,2020-07-18
PROD_000063,Porro Quod,Dagligvarer,Snacks og godteri,103.61,Berg & co.,False,False,False,4.356037041365647,2023-12-09
PROD_000064,Magnam Pariatur,Hjem og fritid,Tekstil,527.87,Andresen-Lien,False,False,False,,2022-08-30
PROD_000065,Alias Temporibus,Hjem og fritid,Rengjøring,847.92,"Lund, Ellingsen og Lie",False,True,False,,2023-05-20
PROD_000066,Unde Ut,Sesongvarer,Jul,166.15,"Christensen, Knutsen og Hanssen",False,False,False,,2021-04-24
PROD_000067,In Facilis,Helse og skjønnhet,Personlig pleie,252.6,Haug-Iversen,False,False,False,,2023-04-08
PROD_000068,Accusantium At,Dagligvarer,Frosne varer,151.83,"Eriksen, Danielsen og Henriksen",False,True,False,2.058711845199415,2024-03-09
PROD_000069,Rem Fuga,Sesongvarer,Tilbake til skolen,56.22,Karlsen RFH,False,False,False,,2021-04-20
PROD_000070,Excepturi Voluptate,Dagligvarer,Meieri og egg,23.51,Andreassen RFH,True,True,False,3.9722211517126156,2020-09-11
PROD_000071,Corporis Illum,Helse og skjønnhet,Apotek,159.17,Jørgensen & co.,False,False,False,,2023-01-27
PROD_000072,Explicabo Iure,Hjem og fritid,Tekstil,1397.69,Tangen-Pettersen,False,False,False,,2023-09-12
PROD_000073,Nesciunt Ea,Hjem og fritid,Rengjøring,237.37,Rasmussen RFH,True,False,False,,2021-12-17
PROD_000074,Ab Animi,Helse og skjønnhet,Personlig pleie,10.66,Rasmussen AS,False,False,False,,2023-09-15
PROD_000075,Molestiae Quae,Dagligvarer,Frukt og grønt,106.99,Bakke AS,False,False,False,4.108919004689401,2021-07-02
PROD_000076,Illo Ut,Helse og skjønnhet,Personlig pleie,369.71,Moe og Sønner,False,False,False,,2025-05-05
PROD_000077,Error Libero,Helse og skjønnhet,Kosmetikk,199.04,"Bakke, Berntsen og Haugland",False,True,False,,2022-05-06
PROD_000078,Laboriosam Eos,Sesongvarer,Tilbake til skolen,221.16,Dahl ASA,False,False,False,,2024-12-30
PROD_000079,Cupiditate Unde,Sesongvarer,Jul,133.77,"Kristensen, Hauge og Antonsen",False,False,False,,2024-03-05
PROD_000080,Non Officia,Dagligvarer,Meieri og egg,38.03,Edvardsen-Abrahamsen,False,False,False,3.6010649124479936,2025-05-03
PROD_000081,Nulla Fuga,Sesongvarer,Tilbake til skolen,22.87,Berge-Fredriksen RFH,True,False,False,,2022-02-27
PROD_000082,Doloribus Laboriosam,Sesongvarer,Tilbake til skolen,318.17,Myhre RFH,False,True,False,,2025-05-07
PROD_000083,Earum Vitae,Helse og skjønnhet,Kosmetikk,253.55,Johnsen-Kristensen,False,False,False,,2020-11-16
PROD_000084,Doloremque Voluptate,Helse og skjønnhet,Personlig pleie,168.18,Larsen-Pettersen,False,False,False,,2022-02-01
PROD_000085,Debitis Facere,Sesongvarer,Tilbake til skolen,95.15,Andersen BA,False,True,False,,2023-11-08
PROD_000086,Eaque Cumque,Dagligvarer,Snacks og godteri,155.48,Gundersen & co.,False,False,False,4.917127032278243,2021-02-06
PROD_000087,Placeat Minus,Hjem og fritid,Sport og fritid,1113.34,"Eliassen, Kristensen og Johansen",False,False,False,,2022-08-08
PROD_000088,Et Doloremque,Dagligvarer,Frukt og grønt,54.55,Danielsen-Mikkelsen og Sønner,False,False,False,4.592156214493422,2023-01-22
PROD_000089,Quasi Ut,Dagligvarer,Kjøtt og fisk,55.54,Johnsen-Eriksen,False,False,False,0.8946151974374389,2023-06-13
PROD_000090,Vero Libero,Sesongvarer,Tilbake til skolen,174.19,Mathisen BA,False,True,False,,2023-06-19
PROD_000091,Doloremque Ullam,Helse og skjønnhet,Personlig pleie,147.65,Johnsen-Haugen ASA,False,False,False,,2023-03-30
PROD_000092,Et Expedita,Sesongvarer,Jul,101.79,Lie RFH,False,False,False,,2022-01-12
PROD_000093,Molestias Ad,Hjem og fritid,Tekstil,717.82,Johannessen BA,False,False,False,,2022-11-05
PROD_000094,Libero Ab,Dagligvarer,Frukt og grønt,145.51,Berntsen RFH,False,True,False,2.7549665517295754,2023-08-09
PROD_000095,Molestias Neque,Dagligvarer,Frosne varer,85.59,"Pettersen, Aasen og Vik",False,False,False,4.670142190137397,2023-07-03
PROD_000096,Quia Delectus,Helse og skjønnhet,Kosmetikk,280.86,Bøe-Tveit,False,False,False,,2022-08-20
PROD_000097,Tempore Blanditiis,Dagligvarer,Frosne varer,175.97,"Mathisen, Hansen og Aune",False,False,False,3.480553407429668,2024-07-20
PROD_000098,Laborum Consequatur,Dagligvarer,Frosne varer,199.13,Henriksen Gruppen,False,False,False,1.7344706989352314,2022-08-03
PROD_000099,Eius Consectetur,Helse og skjønnhet,Personlig pleie,157.55,Myhre og Sønner,False,False,False,,2021-01-31
PROD_000100,Natus Earum,Helse og skjønnhet,Personlig pleie,235.28,Kristiansen-Sivertsen ASA,False,True,False,,2022-04-08
