product_id,product_name,category,subcategory,brand,unit_price,supplier_id
PROD_85123A,WHITE HANGING HEART T-LIGHT HOLDER,Frozen Foods,Frozen Meals,Generic,,SUPP_006
PROD_22423,REGENCY CAKESTAND 3 TIER,Bakery,Cakes,Generic,,SUPP_019
PROD_85099B,JUMBO BAG RED RETROSPOT,Health & Beauty,Skincare,Generic,,SUPP_041
PROD_47566,PARTY BUNTING,Pantry,Pasta,Generic,,SUPP_046
PROD_84879,ASSORTED COLOUR BIRD ORNAMENT,Meat & Seafood,Pork,Generic,,SUPP_025
PROD_20725,LUNCH BAG RED RETROSPOT,Health & Beauty,Skincare,Generic,,SUPP_025
PROD_22720,SET OF 3 CAKE TINS PANTRY DESIGN,Bakery,Cookies,Generic,,SUPP_008
PROD_POST,POSTAGE,Health & Beauty,Personal Care,Generic,,SUPP_043
PROD_20727,LUNCH BAG  BLACK SKULL.,Meat & Seafood,Seafood,Generic,,SUPP_028
PROD_21212,PACK OF 72 RETROSPOT CAKE CASES,Bakery,Pastries,Generic,,SUPP_033
PROD_23298,SPOTTY BUNTING,Health & Beauty,Personal Care,Generic,,SUPP_010
PROD_22382,LUNCH BAG SPACEBOY DESIGN,Beverages,Juices,Generic,,SUPP_031
PROD_22086,PAPER CHAIN KIT 50'S CHRISTMAS,Pantry,Canned Goods,Generic,,SUPP_002
PROD_22457,NATURAL SLATE HEART CHALKBOARD,Baby & Kids,Diapers,Generic,,SUPP_002
PROD_20728,LUNCH BAG CARS BLUE,Household,Cleaning,Generic,,SUPP_029
PROD_22469,HEART OF WICKER SMALL,Baby & Kids,Kids Snacks,Generic,,SUPP_013
PROD_22384,LUNCH BAG PINK POLKADOT,Meat & Seafood,Fish,Generic,,SUPP_034
PROD_22383,LUNCH BAG SUKI DESIGN,Frozen Foods,Frozen Meals,Generic,,SUPP_033
PROD_22960,JAM MAKING SET WITH JARS,Meat & Seafood,Seafood,Generic,,SUPP_009
PROD_22727,ALARM CLOCK BAKELIKE RED,Meat & Seafood,Seafood,Generic,,SUPP_014
PROD_82482,WOODEN PICTURE FRAME WHITE FINISH,Household,Laundry,Generic,,SUPP_029
PROD_22386,JUMBO BAG PINK POLKADOT,Dairy & Eggs,Eggs,Generic,,SUPP_036
PROD_22961,JAM MAKING SET PRINTED,Household,Paper Products,Generic,,SUPP_010
PROD_22993,SET OF 4 PANTRY JELLY MOULDS,Dairy & Eggs,Cheese,Generic,,SUPP_047
PROD_23206,LUNCH BAG APPLE DESIGN,Fresh Produce,Fruits,Generic,,SUPP_049
PROD_21034,REX CASH+CARRY JUMBO SHOPPER,Household,Paper Products,Generic,,SUPP_021
PROD_22138,BAKING SET 9 PIECE RETROSPOT,Pantry,Pasta,Generic,,SUPP_005
PROD_22666,RECIPE BOX PANTRY YELLOW DESIGN,Bakery,Cookies,Generic,,SUPP_004
PROD_22139,RETROSPOT TEA SET CERAMIC 11 PC,Beverages,Tea,Generic,,SUPP_006
PROD_20726,LUNCH BAG WOODLAND,Frozen Foods,Frozen Meals,Generic,,SUPP_027
PROD_22178,VICTORIAN GLASS HANGING T-LIGHT,Health & Beauty,Vitamins,Generic,,SUPP_039
